Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS20X12X.625,HSS20X12X5/8,F,127.37,35.0,–,–,20.0,18.3,–,–,–,12.0,10.3,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,17.7,–,31.4,–,1880,230,188,7.33,851,162,142,4.93,–,–,–,1890,–,257,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X304.8X15.9,HSS508X304.8X15.9,189,22600,–,–,508,465,–,–,–,305,262,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,17.7,–,31.4,–,783,3770,3080,186,354,2650,2330,125,–,–,–,787000,–,4210,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS20X12X.500,HSS20X12X1/2,F,103.30,28.3,–,–,20.0,18.6,–,–,–,12.0,10.6,–,–,–,–,–,–,–,0.500,0.465,–,–,–,–,–,–,–,–,–,–,22.8,–,40.0,–,1550,188,155,7.39,705,132,117,4.99,–,–,–,1540,–,209,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X304.8X12.7,HSS508X304.8X12.7,153,18300,–,–,508,472,–,–,–,305,269,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,22.8,–,40.0,–,645,3080,2540,188,293,2160,1920,127,–,–,–,641000,–,3420,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS20X12X.375,HSS20X12X3/8,F,78.52,21.5,–,–,20.0,19.0,–,–,–,12.0,11.0,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,31.4,–,54.3,–,1200,144,120,7.45,547,102,91.1,5.04,–,–,–,1180,–,160,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X304.8X9.5,HSS508X304.8X9.5,117,13900,–,–,508,483,–,–,–,305,279,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,31.4,–,54.3,–,499,2360,1970,189,228,1670,1490,128,–,–,–,491000,–,2620,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS20X12X.313,HSS20X12X5/16,F,65.87,18.1,–,–,20.0,19.1,–,–,–,12.0,11.1,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,38.2,–,65.7,–,1010,122,101,7.48,464,85.8,77.3,5.07,–,–,–,997,–,134,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X304.8X7.9,HSS508X304.8X7.9,97.9,11700,–,–,508,485,–,–,–,305,282,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,38.2,–,65.7,–,420,2000,1660,190,193,1410,1270,129,–,–,–,415000,–,2200,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS20X8X.625,HSS20X8X5/8,F,110.36,30.3,–,–,20.0,18.3,–,–,–,8.00,6.26,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,10.8,–,31.4,–,1440,185,144,6.89,338,96.4,84.6,3.34,–,–,–,916,–,167,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X203.2X15.9,HSS508X203.2X15.9,164,19500,–,–,508,465,–,–,–,203,159,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,10.8,–,31.4,–,599,3030,2360,175,141,1580,1390,84.8,–,–,–,381000,–,2740,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS20X8X.500,HSS20X8X1/2,F,89.68,24.6,–,–,20.0,18.6,–,–,–,8.00,6.60,–,–,–,–,–,–,–,0.500,0.465,–,–,–,–,–,–,–,–,–,–,14.2,–,40.0,–,1190,152,119,6.96,283,79.5,70.8,3.39,–,–,–,757,–,137,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X203.2X12.7,HSS508X203.2X12.7,133,15900,–,–,508,472,–,–,–,203,168,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,14.2,–,40.0,–,495,2490,1950,177,118,1300,1160,86.1,–,–,–,315000,–,2250,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS20X8X.375,HSS20X8X3/8,F,68.31,18.7,–,–,20.0,19.0,–,–,–,8.00,6.95,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,19.9,–,54.3,–,926,117,92.6,7.03,222,61.5,55.6,3.44,–,–,–,586,–,105,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X203.2X9.5,HSS508X203.2X9.5,102,12100,–,–,508,483,–,–,–,203,177,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,19.9,–,54.3,–,385,1920,1520,179,92.4,1010,911,87.4,–,–,–,244000,–,1720,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS20X8X.313,HSS20X8X5/16,F,57.36,15.7,–,–,20.0,19.1,–,–,–,8.00,7.13,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,24.5,–,65.7,–,786,98.6,78.6,7.07,189,52.0,47.4,3.47,–,–,–,496,–,88.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X203.2X7.9,HSS508X203.2X7.9,85.3,10100,–,–,508,485,–,–,–,203,181,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,24.5,–,65.7,–,327,1620,1290,180,78.7,852,777,88.1,–,–,–,206000,–,1450,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS20X4X.500,HSS20X4X1/2,F,76.07,20.9,–,–,20.0,18.6,–,–,–,4.00,2.60,–,–,–,–,–,–,–,0.500,0.465,–,–,–,–,–,–,–,–,–,–,5.60,–,40.0,–,838,115,83.8,6.33,58.7,34.0,29.3,1.68,–,–,–,195,–,63.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X101.6X12.7,HSS508X101.6X12.7,113,13500,–,–,508,472,–,–,–,102,66.0,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,5.60,–,40.0,–,349,1880,1370,161,24.4,557,480,42.7,–,–,–,81200,–,1050,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS20X4X.375,HSS20X4X3/8,F,58.10,16.0,–,–,20.0,19.0,–,–,–,4.00,2.95,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,8.46,–,54.3,–,657,89.3,65.7,6.42,47.6,26.8,23.8,1.73,–,–,–,156,–,49.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X101.6X9.5,HSS508X101.6X9.5,86.4,10300,–,–,508,483,–,–,–,102,74.9,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,8.46,–,54.3,–,273,1460,1080,163,19.8,439,390,43.9,–,–,–,64900,–,818,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS20X4X.313,HSS20X4X5/16,F,48.86,13.4,–,–,20.0,19.1,–,–,–,4.00,3.13,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,10.7,–,65.7,–,560,75.6,56.0,6.46,41.2,22.9,20.6,1.75,–,–,–,134,–,42.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X101.6X7.9,HSS508X101.6X7.9,72.7,8650,–,–,508,485,–,–,–,102,79.5,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,10.7,–,65.7,–,233,1240,918,164,17.1,375,338,44.5,–,–,–,55800,–,695,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS20X4X.250,HSS20X4X1/4,F,39.43,10.8,–,–,20.0,19.3,–,–,–,4.00,3.30,–,–,–,–,–,–,–,0.250,0.233,–,–,–,–,–,–,–,–,–,–,14.2,–,82.8,–,458,61.5,45.8,6.50,34.3,18.7,17.1,1.78,–,–,–,111,–,34.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS508X101.6X6.4,HSS508X101.6X6.4,58.7,6970,–,–,508,490,–,–,–,102,83.8,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,14.2,–,82.8,–,191,1010,751,165,14.3,306,280,45.2,–,–,–,46200,–,569,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS18X18X.875,HSS18X18X7/8,F,197.24,54.3,–,–,18.0,15.6,–,–,–,18.0,15.6,–,–,–,–,–,–,–,0.875,0.814,–,–,–,–,–,–,–,–,–,–,19.2,–,19.2,–,2630,346,292,6.96,2630,346,292,6.96,–,–,–,4220,–,479,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS457.2X457.2X22.2,HSS457.2X457.2X22.2,293,35000,–,–,457,396,–,–,–,457,396,–,–,–,–,–,–,–,22.2,20.7,–,–,–,–,–,–,–,–,–,–,19.2,–,19.2,–,1090,5670,4790,177,1090,5670,4790,177,–,–,–,1760000,–,7850,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS18X18X.750,HSS18X18X3/4,F,171.16,47.1,–,–,18.0,15.9,–,–,–,18.0,15.9,–,–,–,–,–,–,–,0.750,0.698,–,–,–,–,–,–,–,–,–,–,22.8,–,22.8,–,2320,302,258,7.02,2320,302,258,7.02,–,–,–,3690,–,417,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS457.2X457.2X19,HSS457.2X457.2X19,255,30400,–,–,457,404,–,–,–,457,404,–,–,–,–,–,–,–,19.1,17.7,–,–,–,–,–,–,–,–,–,–,22.8,–,22.8,–,966,4950,4230,178,966,4950,4230,178,–,–,–,1540000,–,6830,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS18X18X.625,HSS18X18X5/8,F,144.39,39.6,–,–,18.0,16.3,–,–,–,18.0,16.3,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,28.1,–,28.1,–,1980,257,220,7.07,1980,257,220,7.07,–,–,–,3120,–,352,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS457.2X457.2X15.9,HSS457.2X457.2X15.9,215,25500,–,–,457,414,–,–,–,457,414,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,28.1,–,28.1,–,824,4210,3610,180,824,4210,3610,180,–,–,–,1300000,–,5770,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS18X18X.500,HSS18X18X1/2,F,116.91,32.1,–,–,18.0,16.6,–,–,–,18.0,16.6,–,–,–,–,–,–,–,0.500,0.465,–,–,–,–,–,–,–,–,–,–,35.7,–,35.7,–,1630,210,181,7.13,1630,210,181,7.13,–,–,–,2540,–,286,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS457.2X457.2X12.7,HSS457.2X457.2X12.7,174,20700,–,–,457,422,–,–,–,457,422,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,35.7,–,35.7,–,678,3440,2970,181,678,3440,2970,181,–,–,–,1060000,–,4690,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS18X6X.625,HSS18X6X5/8,F,93.34,25.7,–,–,18.0,16.3,–,–,–,6.00,4.26,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,7.33,–,28.0,–,923,135,103,6.00,158,61.0,52.7,2.48,–,–,–,462,–,109,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS457.2X152.4X15.9,HSS457.2X152.4X15.9,139,16600,–,–,457,414,–,–,–,152,108,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,7.33,–,28.0,–,384,2210,1690,152,65.8,1000,864,63.0,–,–,–,192000,–,1790,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS18X6X.500,HSS18X6X1/2,F,76.07,20.9,–,–,18.0,16.6,–,–,–,6.00,4.61,–,–,–,–,–,–,–,0.500,0.465,–,–,–,–,–,–,–,–,–,–,9.90,–,35.7,–,770,112,85.6,6.07,134,50.7,44.6,2.53,–,–,–,387,–,89.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS457.2X152.4X12.7,HSS457.2X152.4X12.7,113,13500,–,–,457,422,–,–,–,152,117,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,9.90,–,35.7,–,320,1840,1400,154,55.8,831,731,64.3,–,–,–,161000,–,1470,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS18X6X.375,HSS18X6X3/8,F,58.10,16.0,–,–,18.0,17.0,–,–,–,6.00,4.95,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,14.2,–,48.6,–,602,86.4,66.9,6.15,106,39.5,35.5,2.58,–,–,–,302,–,69.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS457.2X152.4X9.5,HSS457.2X152.4X9.5,86.4,10300,–,–,457,432,–,–,–,152,126,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,14.2,–,48.6,–,251,1420,1100,156,44.1,647,582,65.5,–,–,–,126000,–,1140,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS18X6X.313,HSS18X6X5/16,F,48.86,13.4,–,–,18.0,17.1,–,–,–,6.00,5.13,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,17.6,–,58.9,–,513,73.1,57.0,6.18,91.3,33.5,30.4,2.61,–,–,–,257,–,58.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS457.2X152.4X7.9,HSS457.2X152.4X7.9,72.7,8650,–,–,457,434,–,–,–,152,130,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,17.6,–,58.9,–,214,1200,934,157,38.0,549,498,66.3,–,–,–,107000,–,962,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
